area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TOTAL 2001-2017
Mexico_Coahuila_Candela,14,17,27,12,8,2,12,37,3,32,7,1,3,6,0,10,3,194
Mexico_Coahuila_Castaños,48,18,27,25,6,8,3,41,16,20,174,3,1,0,0,0,0,389
Mexico_Coahuila_Cuatrociénegas,39,290,48,11,1,27,6,21,5,13,252,663,20,7,3,2,5,"1,416"
Mexico_Coahuila_Escobedo,1,6,2,1,0,1,3,1,3,35,1,1,0,1,0,0,0,57
Mexico_Coahuila_Francisco I. Madero,2,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,10
Mexico_Coahuila_Frontera,1,2,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,9
Mexico_Coahuila_General Cepeda,4,2,1,1,2,1,1,1,0,3,0,1,0,0,0,0,0,17
Mexico_Coahuila_Guerrero,47,26,20,17,24,4,28,19,12,34,19,24,15,12,4,4,3,314
Mexico_Coahuila_Hidalgo,174,88,131,52,51,17,33,141,5,56,32,6,0,0,0,1,1,787
Mexico_Coahuila_Jiménez,6,2,17,6,3,3,5,5,3,18,5,4,0,1,1,3,2,84
Mexico_Coahuila_Juárez,168,119,105,9,15,27,37,32,3,169,30,47,0,3,5,2,1,771
Mexico_Coahuila_Lamadrid,7,4,8,1,2,0,2,2,0,3,44,1,0,0,0,0,0,74
Mexico_Coahuila_Matamoros,6,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10
Mexico_Coahuila_Monclova,13,14,6,21,4,2,18,39,1,9,2,2,3,0,0,0,0,133
Mexico_Coahuila_Morelos,6,7,16,2,3,9,10,3,2,15,1,15,0,0,1,1,1,92
Mexico_Coahuila_Múzquiz,107,52,21,21,17,38,29,36,33,97,464,28,109,32,5,9,11,"1,109"
Mexico_Coahuila_Nadadores,1,1,7,1,0,3,1,19,0,5,0,1,0,0,0,0,0,40
Mexico_Coahuila_Nava,8,10,1,5,5,1,5,1,0,5,1,6,0,1,1,0,0,50
Mexico_Coahuila_Nueva Rosita,93,6,3,4,21,10,2,9,34,110,26,12,0,1,13,5,7,357
Mexico_Coahuila_Ocampo,38,6,18,5,3,60,11,15,314,11,341,29,1,1,0,0,1,854
Mexico_Coahuila_Parras,25,1,5,1,1,2,0,0,1,5,3,3,0,0,0,0,0,47
Mexico_Coahuila_Piedras Negras,2,2,4,4,2,1,4,6,3,10,5,4,0,1,1,8,3,60
Mexico_Coahuila_Progreso,131,148,53,19,2,50,10,18,13,18,15,4,0,0,0,0,0,481
Mexico_Coahuila_Ramos Arizpe,11,6,4,5,16,1,3,4,2,8,1,2,0,5,0,0,0,69
Mexico_Coahuila_Sabinas,77,7,9,6,23,3,3,27,4,104,12,19,0,2,0,2,0,298
Mexico_Coahuila_Sacramento,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5
Mexico_Coahuila_Saltillo,7,36,5,11,6,2,5,12,3,5,81,12,3,3,0,9,1,201
Mexico_Coahuila_San Buenaventura,10,42,27,8,14,13,11,14,26,28,308,47,9,1,0,0,0,559
Mexico_Coahuila_San Pedro,2,0,2,1,1,1,0,0,2,1,4,0,0,0,0,0,0,15
Mexico_Coahuila_Sierra Mojada,2,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,7
Mexico_Coahuila_Torreón,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Mexico_Coahuila_Viesca,1,2,0,1,1,0,0,1,0,1,1,8,0,0,0,0,0,16
Mexico_Coahuila_Villa Unión,27,2,7,1,5,2,9,3,1,9,3,12,2,17,0,0,0,101
